Name,Symbol,Price,Market cap,24h change
Wrapped Centrifuge,CFG,0.482,$ 244.01M,+5.24%
OKC,OKT,13.65,$ 243.16M,+10.79%
Cartesi,CTSI,0.242,$ 242.47M,+2.96%
Oraichain Token,ORAI,14.58,$ 241.96M,+12.54%
LimeWire,LMWR,0.383,$ 239.01M,-1.57%
Bloktopia,BLOK,0.00119,$ 238.28M,+1.00%
Celer Network,CELR,0.0307,$ 237.06M,+19.26%
JasmyCoin,JASMY,0.0498,$ 236.57M,-6.17%
Balancer,BAL,3.84,$ 231.87M,+4.74%
Origin protocol,OGN,0.163,$ 230.31M,+2.39%
PEAQ,PEAQ,0.61,$ 230.13M,+34.49%
iExec RLC,RLC,2.85,$ 228.26M,+1.01%
Marlin POND,POND,0.0253,$ 228.14M,+7.89%
Tether Gold,XAUT,"2,665.80",$ 227.7M,+0.22%
Bifrost,BFC,0.0564,$ 225.71M,+4.20%
Ontology,ONT,0.352,$ 224.38M,+5.33%
PIXEL,PIXEL,0.289,$ 222.56M,+0.85%
Zigcoin,ZIG,0.153,$ 222.22M,+0.33%
Liquity,LQTY,2.35,$ 220.84M,+26.64%
Velo,VELO,0.0296,$ 219.11M,+25.56%
ZetaChain,ZETA,0.925,$ 218.67M,+4.20%
DeepBook Token,DEEP,0.0862,$ 215.21M,+17.85%
aleph.im,ALEPH,0.214,$ 213.78M,-1.82%
Maple,MPL,22.78,$ 211.77M,-0.67%
Stader,SD,1.39,$ 208.56M,+2.47%
THENA,THE,2.47,$ 208.1M,+1.72%
Wilder World,WILD,0.629,$ 203.57M,+2.03%
Oasis Network,ROSE,0.135,$ 202.66M,+0.67%
Cream,CREAM,22.48,$ 202.05M,+4.86%
NodeAI,GPU,2.04,$ 200.82M,-2.63%
Audius,AUDIO,0.231,$ 201.11M,+3.75%
Scroll,SCR,1.06,$ 201.08M,-1.39%
Dent,DENT,0.00199,$ 199.56M,+2.99%
GoMining Token,GMT,0.48,$ 199.41M,+8.50%
Bitkub Coin,KUB,2.70,$ 198.52M,+3.93%
Goldfinch,GFI,2.27,$ 196.14M,-2.16%
UltimaEcosystem,ULTIMA,"4,621.34",$ 194.52M,-2.76%
Venus,XVS,11.67,$ 194.36M,+5.05%
BounceBit,BB,0.474,$ 194.24M,+6.76%
BORA,BORA,0.161,$ 193.98M,+2.07%
Alpha Finance Lab,ALPHA,0.132,$ 191.95M,+4.67%
Mines of Dalarnia,DAR,0.24,$ 191.74M,+7.06%
Aleph Zero,AZERO,0.62,$ 190.65M,+0.29%
Ontology Gas,ONG,0.479,$ 190.48M,+5.04%
RSS3,RSS3,0.19,$ 190.41M,-1.72%
Akash,AKT,4.66,$ 189.66M,-1.53%
Sundog,SUNDOG,0.189,$ 189.33M,-4.20%
Synapse Protocol,SYN,0.996,$ 189.28M,+15.07%
Name,Symbol,Price,Market cap,24h change
Synapse,SYN,0.992,$ 188.5M,+14.52%
Phala Network,PHA,0.188,$ 188.43M,+2.77%
SPACE ID,ID,0.658,$ 188.33M,+0.91%
Coin98,C98,0.271,$ 187.79M,+2.81%
Civic,CVC,0.186,$ 186.09M,+0.37%
Fartcoin,FARTCOIN,0.185,$ 185.6M,-17.32%
Nosana,NOS,3.84,$ 185.04M,+1.01%
Celsius Network,CEL,0.262,$ 181.59M,+2.87%
Spell Token,SPELL,0.00118,$ 179.57M,+4.71%
Everipedia,IQ,0.0111,$ 179.4M,+5.72%
Catizen,CATI,0.586,$ 178.75M,+2.43%
AI Companions,AIC,0.198,$ 178.18M,+0.70%
TrueFi,TRU,0.142,$ 177.63M,+1.36%
Lisk,LSK,1.38,$ 177.66M,+1.99%
ANyONe Protocol,ANYONE,1.93,$ 177.37M,-2.45%
Landwolf,WOLF,0.000196,$ 176.67M,+33.52%
